,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
13,ne_bomb_cyclone,after,2019-10-20,power outage,1185699289475014657,baz31000,power outage bfjecause my voluptuous breasgs messing with the voltage,2019-10-19 23:28:34+00:00,,
14,ne_bomb_cyclone,after,2019-10-20,power outage,1185699207883083777,arwko,"And if they don't call them the ""power outage"" jerseys they're doing it wrong.",2019-10-19 23:28:15+00:00,,
15,ne_bomb_cyclone,after,2019-10-20,power outage,1185697102329995264,TeacherEricP,A great way to end a three day power outage. ,2019-10-19 23:19:53+00:00,,
16,ne_bomb_cyclone,after,2019-10-20,power outage,1185696029573697536,Kiera97956092,idaho has a power outage ,2019-10-19 23:15:37+00:00,,
17,ne_bomb_cyclone,after,2019-10-20,power outage,1185695728867385346,rokakakatree,that power outage noise trailers for blockbusters always make while something large is falling and the screen flickers really fast,2019-10-19 23:14:25+00:00,,
18,ne_bomb_cyclone,after,2019-10-20,power outage,1185695463380410370,tetrimbath,"""Power out in Clinton off of cultus bay and Campbell. Anyone else?"" Hey! I live down that way. (But I'm in my office at @CBTara in Bayview on #whidbeyIsland.) I didn't see anything on @PSETalk's Outage Map. Can't report what I can't witness, but I wonder what's going on.",2019-10-19 23:13:22+00:00,#whidbeyIsland,
19,ne_bomb_cyclone,after,2019-10-20,power outage,1185695401661423620,CapeCodBars,"During the power outage this week The 400 Club (also called 400 East) had power, so I indulged in this huge bowl of Mac and Cheese to calm my nerves. It fed 2 people there then was lunch the next day! Nice local vibe. #Harwich #capecod Great flat bread pizza too",2019-10-19 23:13:07+00:00,#Harwich #capecod,
20,ne_bomb_cyclone,after,2019-10-20,power outage,1185695060454707200,BeverlyWade,"@mylkldelectric Thank you all for getting our power restored here in Remington Oaks, North Lakeland! Greatest power company in the South. So glad to know you are always there when we have an outage. Get some rest! God Bless! Job Well Done!!",2019-10-19 23:11:46+00:00,,
21,ne_bomb_cyclone,after,2019-10-20,power outage,1185694652621561862,KTVB,Wendell residents need to boil water after power outage shuts down well ,2019-10-19 23:10:08+00:00,,
22,ne_bomb_cyclone,after,2019-10-20,power outage,1185694423776190464,GabAfoNG,"We are all poor in this country, even if you are a certified billionaire the expensive is still not meant for bad roads. The expensive gadgets and electronics isn't for epileptic power outages and so more We are all poor",2019-10-19 23:09:14+00:00,,
23,ne_bomb_cyclone,after,2019-10-20,power outage,1185693730323468288,JoeFMartin1,Is this real? Can we confirm? Did it occur during power outages?,2019-10-19 23:06:29+00:00,,
24,ne_bomb_cyclone,after,2019-10-20,power outage,1185693368468332545,TekSavvyCSR,"Good news! The cable internet outage in Vancouver and surrounding areas should now be resolved. If you still are experiencing issues, please unplug the power from the modem and router for a few minutes, then retest the connection. -am",2019-10-19 23:05:02+00:00,,
