,Event,City,Stage,Query Date,Id,Username,Text,Date,Hashtags,Location
130,ne_bomb_cyclone,boston,before,2019-10-15,718407622660132864,Rwakakamba,"Besides Presidency &PSs, power is vested in auxiliary agencies of State.UNRA, REA, URA, etc.Want real power?Go for those-not MP or Minister",2016-04-08 11:58:19+00:00,,
131,ne_bomb_cyclone,boston,before,2019-10-15,706890155383193601,BisforBerkshire,Tons of students here for #BPSwalkout. Arriving on Common from schools all over city. Chanting *student power* ,2016-03-07 17:12:01+00:00,#BPSwalkout,
132,ne_bomb_cyclone,boston,before,2019-10-15,683418874679803904,Innometheus,No doubt we'll one day be using our own physiology to power #sensors #electronics http://goo.gl/gnYNd8 #digitalhealth #mhealth,2016-01-02 22:45:31+00:00,#sensors #electronics #digitalhealth #mhealth,
133,ne_bomb_cyclone,boston,before,2019-10-15,681824252769734656,MOVEMENTASMED,The medicine ball shotput is a great power drill for overhead throwing athletes. The shotput… https://www.instagram.com/p/_4HoqCtvQc/,2015-12-29 13:09:04+00:00,,
134,ne_bomb_cyclone,boston,before,2019-10-15,679929592782680064,Innometheus,Amazing—$1k in computing power to surpass the human brain by 2025 http://goo.gl/WDAA5Q #exponential #change #tech,2015-12-24 07:40:22+00:00,#exponential #change #tech,
135,ne_bomb_cyclone,boston,before,2019-10-15,677427542735777792,TotalTrafficBOS,"Fallen power cables, caution in #EastBoston on Rt 1A NB before Boardman St #traffic http://bit.ly/YAC1Ic",2015-12-17 09:58:06+00:00,#EastBoston #traffic,
136,ne_bomb_cyclone,boston,before,2019-10-15,669298697486909440,ChrissyJStarX,"Good meeting, great people. #power #team #ufc @ufc @robsfont @propa_ent thank you for stopping by to… https://instagram.com/p/-fHqtZhH5L/",2015-11-24 23:36:59+00:00,#power #team #ufc #ufc,
137,ne_bomb_cyclone,boston,before,2019-10-15,664920499957444608,suneditor,"Gov. Charlie Baker: Meehan is a 5 tool player. Clarity, power, execution, collaboration, leadership. #UMassPres",2015-11-12 21:39:35+00:00,#UMassPres,
138,ne_bomb_cyclone,boston,before,2019-10-15,650000205937528832,hawny97,Show her your fan power Show her how much you love her SMS SAN to 56882 #VoteForSanaya,2015-10-02 17:31:40+00:00,#VoteForSanaya,
139,ne_bomb_cyclone,boston,before,2019-10-15,647983737142054913,ANerdThatLifts,@madigoldman @ChrisCole0526 @TommSavage I also can't to the 3rd power,2015-09-27 03:58:56+00:00,,
140,ne_bomb_cyclone,boston,before,2019-10-15,622079711938789376,downtownkennedy,Girl power hour! We only have 6 1/2 hours left. Please donate now bostonchildrens #mixcares4kids @… https://instagram.com/p/5Pm9tyhaZ5/,2015-07-17 16:25:35+00:00,#mixcares4kids,
141,ne_bomb_cyclone,boston,before,2019-10-15,621677846617038848,shannonmmiller,"""We as educators have the power to change the world."" ozgurakas #blc15 @Boston Park Plaza https://instagram.com/p/5MwN8gqOf5/",2015-07-16 13:48:43+00:00,#blc15,
142,ne_bomb_cyclone,boston,before,2019-10-15,594719859893764096,sweatpantspapi,DJ just played Trap Queen into Trap Queen. Talk about power moves that pay off.,2015-05-03 04:27:18+00:00,,
143,ne_bomb_cyclone,boston,before,2019-10-15,590831237926940672,colleensheehan7,Ran the #BostonMarathon with the power of the #12thMan! Threw down the gavel like I was @Kam_Chancellor!,2015-04-22 10:55:18+00:00,#BostonMarathon #12thMan,
144,ne_bomb_cyclone,boston,before,2019-10-15,590534973880406018,Cluverc,"@katebolick @OnPointRadio: ""I want young women to feel their power. To feel the power of those women that fought for this."" #spinster",2015-04-21 15:18:04+00:00,#spinster,
145,ne_bomb_cyclone,boston,before,2019-10-15,589071309230989313,mc_chesney,dinning hall workers deliver petition achieving better working conditions to @DivestHarvard - new power of Mass Hall ,2015-04-17 14:21:59+00:00,,
146,ne_bomb_cyclone,boston,before,2019-10-15,584852651227140097,bransengates,"Adding ""So Yesterday"" by Hilary Duff to my rep book as a fierce power ballad.",2015-04-05 22:58:32+00:00,,
147,ne_bomb_cyclone,boston,before,2019-10-15,584431584264200192,AmandlaOO,Witnessing power of telling our stories in our own words. #personalnarratives @HarvardADC @fqdayib @LindiMazibuko,2015-04-04 19:05:22+00:00,#personalnarratives,
148,ne_bomb_cyclone,boston,before,2019-10-15,583973150653882368,tay_jones98,"girlfriend or not, you do not dictate a girl's life. get a dog if you're feeling so insecure about the power you have over someone",2015-04-03 12:43:43+00:00,,
149,ne_bomb_cyclone,boston,before,2019-10-15,580842616541065217,daniidetorres,Can you say prom power couple!? Congrats to ma sis &amp; studly date on swimmer of the year! @lauurendt @kyle_stefanides,2015-03-25 21:24:05+00:00,,
150,ne_bomb_cyclone,boston,before,2019-10-15,576378593812422656,mkurkowski,Professional talents include: accidentally unplugging my laptop headphones so the entire office can know I'm listening to 90s power ballads.,2015-03-13 13:45:40+00:00,,
151,ne_bomb_cyclone,boston,before,2019-10-15,575784835735670784,adelesakey,I feel like artists should have the power to control when/how their music enters the world. So I don't listen to leaked music.,2015-03-11 22:26:17+00:00,,
152,ne_bomb_cyclone,boston,before,2019-10-15,575365470280380416,LuxeTiffany,"@TravlandLeisure ""Grazie!"" Never underestimate the power of politeness (in any language!) #TL_Chat",2015-03-10 18:39:52+00:00,#TL_Chat,
153,ne_bomb_cyclone,boston,before,2019-10-15,574689925095911425,Keds,Surrounded by some serious girl power. #HappyInternationalWomensDay,2015-03-08 21:55:30+00:00,#HappyInternationalWomensDay,
154,ne_bomb_cyclone,boston,before,2019-10-15,573665210663309312,GracieTracy,Power plays&gt;penalties Bs. Life lesson for ya.,2015-03-06 02:03:39+00:00,,
155,ne_bomb_cyclone,boston,before,2019-10-15,572912563492687872,NHLBruins,Fashion Power Play to benefit the Boston Bruins Foundation set to begin at Copley Place! #NHLBruins @… https://instagram.com/p/zyQVdNxKmZ/,2015-03-04 00:12:53+00:00,#NHLBruins #NHLBruins,
156,ne_bomb_cyclone,boston,before,2019-10-15,566949269513732098,amirhadjihabib,Awesome in its power and grace. I am happy we stocked up on supplies. #blizzardof2015,2015-02-15 13:16:53+00:00,#blizzardof2015,
157,ne_bomb_cyclone,boston,before,2019-10-15,565919077193891840,JoeyPigskins,Was just reading up on the Power Ball winners. Puerto Rico doesn't pay federal taxes but can still collect disability/welfare? WHAT,2015-02-12 17:03:16+00:00,,
158,ne_bomb_cyclone,boston,before,2019-10-15,564458792205553664,j_maggie,ST girls 200 yard relay team earned themselves a spot at the STATE championships and set a new school record!!! #LikeAGirl #mindbody #power,2015-02-08 16:20:37+00:00,#LikeAGirl #mindbody #power,
159,ne_bomb_cyclone,boston,before,2019-10-15,564324312073912321,nksingal,If you want to test a man's #character give him power. #ThinkBIGSundayWithMarsha #quotes,2015-02-08 07:26:15+00:00,#character #ThinkBIGSundayWithMarsha #quotes,
160,ne_bomb_cyclone,boston,before,2019-10-15,563758924248387584,zeroasic,"ITRS semiconductor prediction form the 90's. 2016: 28.8GHz, 9nm, 288Watt max power, 0.4V. Predicting the future is hard!",2015-02-06 17:59:36+00:00,,
161,ne_bomb_cyclone,boston,before,2019-10-15,563437421606752257,alex_faust,"Northeastern vs BC shot attempts, visualized. Shaded areas indicate power play time. ",2015-02-05 20:42:04+00:00,,
162,ne_bomb_cyclone,boston,before,2019-10-15,563208871435853824,nksingal,#Innovation in #healthcare:This lens-free microscope developed by scientists gives almost anyone the power to scan... http://fb.me/2VZouviRF,2015-02-05 05:33:53+00:00,#Innovation #healthcare,
163,ne_bomb_cyclone,boston,before,2019-10-15,559819204002856961,spazwaaf,My father in law just told me to purchase a lantern in the event that the power goes out...WTF...a lantern! #Blizzardof2015,2015-01-26 21:04:33+00:00,#Blizzardof2015,
164,ne_bomb_cyclone,boston,before,2019-10-15,559780204286320640,PaulNuttingJr,Just had a robocall from Nstar warning me to prepare for power outage @universalhub @LaurenDezenski @WelcomeToDot,2015-01-26 18:29:35+00:00,,
165,ne_bomb_cyclone,boston,before,2019-10-15,555925443325722624,Cowboycerrone,"Good ol @Budweiser has us in the heated garage at the distribution center, power and water. ",2015-01-16 03:12:08+00:00,,
166,ne_bomb_cyclone,boston,before,2019-10-15,553003332693131265,SaraCivian,Boston Bruins Power Play: ,2015-01-08 01:40:43+00:00,,
167,ne_bomb_cyclone,boston,before,2019-10-15,550349273343492096,mattroeser,"Early 2015 Tip: Hoverboards don't work on water, unless you got power! #bojo",2014-12-31 17:54:26+00:00,#bojo,
168,ne_bomb_cyclone,boston,before,2019-10-15,549454859981037568,datboiinkdd,Educate yourself ....knowledge is power goodnight #BLE$$ING$,2014-12-29 06:40:21+00:00,#BLE,
169,ne_bomb_cyclone,boston,before,2019-10-15,548510239600152579,andrewpcollins,Power Wheels F-150 JUST fits in the real truck;) #truckception @raywert @mrlevine @truckyeahnews @Jalopnik,2014-12-26 16:06:46+00:00,#truckception,
170,ne_bomb_cyclone,boston,before,2019-10-15,539930582189223936,JanetWuNews,Hanging w/ holiday power trio! #CopleySquare tree lighting! @OnlyInBOS @FairmontCopley @LenoxHotel @BostonParksDept,2014-12-02 23:54:16+00:00,#CopleySquare,
171,ne_bomb_cyclone,boston,before,2019-10-15,536667337915916288,savannimalz,Learned a lot today about how stupid and irresponsible people get when they blindly follow authority and power,2014-11-23 23:47:18+00:00,,
172,ne_bomb_cyclone,boston,before,2019-10-15,536140634663714816,dscavitto,Excited for our poster session today at #ncss14! @StJAcademy @adrew00 Stop by the 3rd floor Bolyston and look for The Power of Place! #PBL,2014-11-22 12:54:22+00:00,#ncss14 #PBL,
173,ne_bomb_cyclone,boston,before,2019-10-15,533365677365919744,SamVaghar,The only way we solve the big problems: #collaboration. Check out @Walkerjc piece on the power of the ensemble http://linkd.in/1xGqt8i,2014-11-14 21:07:41+00:00,#collaboration,
174,ne_bomb_cyclone,boston,before,2019-10-15,531654302948139008,LizBaregu,Heaven has gained a team of angels and an incredible general. May the power of Dr. Myles Munroe's life reverberate for generations to come.”,2014-11-10 03:47:18+00:00,,
